,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
1254,6.279387,13.599808,25.894379,16.3806,0.6656425,0.22563925,0.17763063,0.21757448
1255,2.2274518,9.167202,21.551596,12.274994,0.87192214,0.55925465,0.48594174,0.43338004
1256,-6.438283,0.51003045,12.918849,3.6555204,1.0174347,0.7241016,0.6387317,0.50627065
1257,0.93414736,8.972425,21.355635,11.345614,0.5917085,0.4081537,0.4697047,0.3400902
1258,11.086504,15.645458,23.272362,18.990343,3.2387438,1.2661031,0.07281839,0.87117875
1259,11.046193,16.352686,24.424833,19.459402,2.3604717,0.94779724,0.058875132,0.7165904
1260,10.168247,15.916514,24.25071,18.885391,2.0589707,0.81313175,0.053694215,0.6114817
1261,9.438834,16.227442,24.80628,18.674616,1.5209695,0.6326062,0.058037594,0.4991649
1262,10.838448,17.749613,27.806072,20.36649,2.012248,0.99726725,0.058141977,0.69363946
1263,10.659192,17.20845,27.633041,20.088127,2.5840535,1.3449575,0.06009831,0.93755084
1264,10.335954,16.395943,27.285593,19.658674,3.0637815,1.5732027,0.07151093,1.1274279
1265,9.621747,15.095537,26.29588,18.741323,3.9857295,1.9658686,0.086226344,1.2795448
1266,8.971174,14.372762,25.619833,18.082071,4.085785,2.0190473,0.071204245,1.3165909
1267,8.254768,13.880889,25.217052,17.600155,4.4846783,2.1849432,0.0799158,1.4178193
1268,6.7637286,12.605916,23.968239,16.247904,4.997958,2.4098911,0.114831194,1.5861261
1269,3.2153552,9.504241,20.900059,12.963419,5.4907846,2.6001856,0.29184696,1.882027
1270,0.717382,7.357801,18.771511,10.667135,5.8572574,2.7759776,0.37461874,2.1324048
1271,-2.6403837,3.8680115,15.317059,7.2629056,5.7966423,2.6880867,0.7329443,2.2571638
1272,-5.0192747,1.4659402,12.994233,4.930933,5.0931835,2.3392246,0.9305979,2.1424942
1273,-4.2620993,1.9748023,13.617476,5.5854936,5.048887,2.395186,0.93087226,2.098179
1274,-2.0413573,4.2229977,15.949152,7.8813543,3.6440501,1.6535665,0.6234806,1.4497802
1275,0.81365156,7.131593,18.921928,10.778649,2.4343712,1.1087934,0.4145278,0.93178535
1276,2.183127,8.946089,21.02247,12.262943,2.0187693,0.9235247,0.4502202,0.81149185
1277,0.960369,8.078784,20.36138,11.13707,2.1237073,0.9455339,0.46566293,0.90479773
1278,1.5445778,8.853379,21.190353,11.754597,1.3353678,0.5812085,0.41523984,0.56135905
1279,5.243996,12.681648,25.06448,15.478053,0.72645897,0.26640496,0.23272228,0.23102714
1280,-1.8565097,5.6404886,18.067215,8.401698,1.0329899,0.7680658,0.5836961,0.5037842
1281,-10.837549,-2.5761366,9.810154,-0.35582078,0.6333023,0.50838697,0.46758172,0.37677556
1282,10.881887,15.252898,22.372448,18.423853,3.8896618,1.4806464,0.07154244,0.99161404
1283,12.451798,16.491617,25.506666,20.699286,3.1299827,1.2128472,0.05660396,0.94889194
1284,10.797542,15.896001,24.866451,19.525284,2.7128794,1.0608089,0.066703714,0.80437106
1285,10.584385,16.87592,25.598135,19.745884,2.0278342,0.8056417,0.057818126,0.61018145
1286,10.651603,17.462574,27.704424,20.268955,2.0812607,1.0615622,0.06487538,0.6674783
1287,10.173569,16.765444,27.298058,19.76851,3.0103378,1.4363488,0.07126813,1.0202368
1288,10.182734,16.42172,27.339521,19.690985,3.512145,1.7607689,0.07451332,1.2618432
1289,9.81233,15.590609,26.837988,19.170715,4.078891,2.0427003,0.0899777,1.345791
1290,7.94086,13.442931,24.716152,17.102547,4.914452,2.4140882,0.11229008,1.4715897
